92.008	86.251	92.553	94.689	94.876	96.745	89.031	90.627	32.405	32.553	NA	32.225	32.414	31.096	31.545	29.853	91.001	92.516	92.482	93.273	93.592	94.705	94.261	95.466	90.988	92.467	92.427	93.409	93.467	94.697	94.283	95.962	101.019	108.464	108.276	109.175	109.294	110.500	104.450	105.723	101.288	108.527	102.222	103.370	109.321	110.576	110.174	105.691	106.010	107.468	107.311	108.408	108.578	109.506	109.436	110.525	106.175	107.483	107.243	108.416	108.727	109.539	109.416	110.648	276.091	284.257	276.769	278.356	278.352	286.688	286.503	287.829	283.586	284.855	277.995	285.904	285.939	287.479	287.019	281.778	279.770	287.785	287.734	287.951	289.000	290.198	290.147	284.161	279.976	288.414	280.769	282.749	288.977	284.214	290.586	291.675	270.653	279.839	279.400	273.268	281.019	280.862	281.381	282.610	271.508	273.288	280.436	281.251	273.914	282.613	275.312	283.868	282.381	276.404	275.999	283.997	277.603	278.888	285.921	286.981	283.266	277.372	283.987	285.302	278.345	279.546	279.129	280.949
92.776	94.866	94.575	88.946	89.312	97.653	90.523	91.732	32.464	32.179	32.158	NA	29.874	30.401	30.000	31.193	92.209	93.672	93.394	94.866	94.871	96.468	96.256	97.318	92.216	93.702	93.428	94.777	95.046	96.452	96.257	97.415	108.632	104.103	104.015	110.793	110.894	112.153	106.226	107.541	108.586	109.781	109.457	105.180	110.902	106.539	111.802	107.444	107.706	108.999	108.928	109.716	109.832	111.111	110.810	112.104	107.697	109.181	108.914	110.328	110.328	111.124	110.818	111.986	277.638	285.251	285.710	280.156	287.047	288.709	281.109	282.443	285.296	286.555	286.490	281.037	287.803	288.381	282.085	283.225	288.255	289.555	289.106	284.131	283.716	284.993	290.597	292.879	289.083	283.659	283.257	284.572	291.229	285.842	292.051	287.278	279.826	281.164	274.160	282.228	283.219	283.357	282.865	284.106	273.027	282.114	281.583	282.779	276.357	278.744	283.625	285.009	277.105	278.447	278.265	279.790	286.917	287.703	287.475	288.413	284.787	279.170	278.720	287.273	280.370	281.496	281.287	289.358
93.568	95.312	94.915	89.365	89.589	98.038	98.128	98.232	32.473	32.063	32.404	29.701	NA	30.906	30.537	31.273	92.613	93.866	93.593	95.091	95.102	96.242	96.147	97.204	92.573	93.874	93.578	95.090	95.146	96.241	96.009	97.182	108.341	109.370	103.801	110.328	105.185	111.735	111.455	107.482	102.636	104.126	109.183	105.073	105.324	111.724	106.251	107.637	107.677	108.996	108.758	110.154	110.203	111.531	110.362	111.594	107.264	108.751	108.535	110.066	110.175	110.699	111.216	111.567	284.138	285.675	279.325	286.647	281.041	287.969	280.969	288.950	284.976	280.053	286.036	281.076	280.686	288.664	281.614	282.988	287.086	282.664	282.391	284.291	290.295	285.159	290.888	292.191	288.467	289.126	289.596	290.414	290.625	291.980	285.414	287.099	279.074	279.924	273.802	281.778	281.837	282.825	282.664	283.649	273.038	275.779	275.261	276.308	282.513	278.076	277.353	284.651	283.891	278.931	277.986	285.337	279.524	287.153	280.503	288.351	284.440	286.170	285.329	286.493	286.092	281.759	287.580	288.741
94.982	89.507	96.758	97.656	91.124	98.330	98.251	98.402	32.239	29.473	31.197	30.437	30.864	NA	32.008	33.126	93.748	95.216	94.690	96.475	96.427	97.733	97.537	98.170	93.560	95.224	94.976	96.491	96.984	97.860	97.603	98.457	104.234	111.036	105.399	111.891	112.166	113.352	107.684	108.907	104.082	105.572	105.252	106.571	106.703	108.068	112.957	108.781	108.954	110.505	110.153	110.819	111.665	112.230	111.944	113.098	109.040	109.839	109.566	110.944	111.022	112.955	111.975	113.783	279.452	287.655	287.212	282.395	282.082	283.895	289.639	285.017	280.021	282.590	286.810	289.169	282.577	284.700	283.781	285.397	283.040	290.718	284.034	291.206	291.810	286.821	293.082	287.989	290.513	292.027	291.064	286.383	286.181	287.789	293.461	294.543	280.454	282.237	275.271	283.441	276.531	278.442	277.737	279.783	281.261	282.947	282.453	277.440	277.259	285.635	284.794	279.988	284.330	279.541	279.167	280.558	287.693	289.241	281.365	282.820	278.399	286.912	279.663	280.985	280.986	290.070	288.534	283.708
94.723	97.654	97.085	97.866	90.747	92.000	98.313	98.329	32.401	28.896	31.476	29.968	30.486	32.015	NA	32.669	93.395	94.908	94.692	95.993	96.380	97.494	97.670	97.997	93.534	94.910	94.673	96.366	96.354	97.780	97.630	98.016	109.125	105.134	104.859	111.485	111.665	112.924	112.597	113.790	103.773	105.167	104.860	111.741	106.316	107.664	112.581	108.464	108.740	110.145	109.240	111.215	111.386	112.555	112.365	112.773	108.689	110.126	109.748	111.213	110.605	111.878	111.530	113.446	285.620	281.001	280.183	288.249	288.060	283.348	282.934	290.658	285.982	281.715	280.781	288.636	289.199	290.083	289.682	284.821	289.340	284.176	284.083	291.669	285.280	287.003	285.996	294.233	283.172	291.149	284.617	292.307	285.634	293.196	286.873	288.500	273.505	282.052	281.536	283.157	276.345	278.025	283.925	279.825	280.739	275.735	275.692	277.123	284.391	285.093	284.515	285.033	277.894	285.484	278.786	286.990	280.028	281.334	280.917	289.731	278.215	286.542	285.889	287.845	281.259	289.616	288.956	290.059
89.488	90.867	97.833	98.057	92.023	98.360	93.010	100.111	28.513	30.405	29.834	31.213	31.218	33.101	32.646	NA	94.428	96.258	95.423	97.356	97.225	98.170	98.068	98.778	94.793	96.294	95.460	97.383	97.779	98.287	98.315	98.988	104.927	111.960	111.748	107.369	113.129	108.692	114.005	115.326	110.636	112.152	106.293	112.894	113.097	108.670	108.356	115.143	109.753	111.344	110.689	112.384	112.447	113.306	112.963	114.571	109.758	110.915	110.662	112.416	112.516	113.327	113.676	114.612	286.922	287.928	288.251	289.480	289.445	284.297	283.953	285.217	278.695	289.388	281.531	290.497	283.516	284.417	284.839	292.069	283.659	284.836	284.704	286.327	286.377	294.563	287.192	289.573	283.988	285.546	285.384	287.711	293.886	295.326	288.040	295.441	281.841	276.288	283.527	285.134	277.397	286.714	286.781	279.860	276.254	284.894	284.379	277.644	277.856	287.442	287.014	280.140	278.949	280.666	287.561	289.594	281.705	290.605	282.708	283.842	286.825	281.696	287.685	290.420	290.027	283.483	283.035	292.804
89.963	91.525	91.191	92.249	92.360	93.550	93.597	94.802	89.949	91.436	91.025	92.372	92.613	93.757	93.443	94.498	NA	32.363	32.314	32.461	32.489	32.233	32.427	28.535	91.113	92.111	86.021	92.742	86.367	94.980	94.697	89.445	105.488	106.056	105.734	108.210	108.292	108.119	107.954	109.014	104.593	106.941	106.712	106.841	107.066	109.286	107.904	109.975	106.641	107.955	100.471	101.688	101.962	103.254	102.707	103.678	99.390	100.748	100.508	101.701	101.913	110.306	102.754	111.285	279.271	281.395	280.541	282.288	282.320	283.936	283.488	284.999	280.515	282.025	281.379	283.053	282.960	284.335	283.966	284.514	283.187	284.779	284.229	285.286	285.952	287.403	287.283	288.809	283.930	285.569	285.035	286.907	286.775	288.256	287.736	289.797	275.557	276.329	276.017	278.750	277.406	279.663	277.935	280.125	275.695	276.938	276.664	277.979	277.722	279.453	279.193	280.962	279.779	281.284	280.816	281.794	281.598	283.134	282.424	283.741	280.266	281.544	281.591	282.581	282.345	284.085	283.336	284.842
91.526	92.623	92.523	93.706	93.969	95.289	94.941	96.324	91.235	92.633	92.518	93.750	94.046	95.301	94.940	96.319	32.390	NA	32.483	32.310	32.056	29.459	28.912	30.360	86.085	93.838	86.281	95.068	87.789	97.448	97.743	97.821	107.142	108.581	107.311	109.188	108.909	109.700	110.207	110.643	107.172	108.614	107.331	109.238	109.370	110.456	109.379	111.413	107.933	102.510	102.187	103.298	110.394	111.779	104.480	105.746	107.860	102.493	109.002	103.231	103.485	104.867	111.374	112.585	281.304	283.250	282.635	284.742	283.869	285.540	284.700	286.099	282.108	283.833	283.022	285.518	284.823	285.619	285.719	286.807	284.683	286.895	286.137	287.401	287.444	289.289	288.316	290.207	285.430	287.380	287.046	288.591	288.294	289.931	289.547	290.556	276.850	277.725	277.777	279.041	279.471	281.384	279.954	281.001	276.934	278.619	278.069	279.813	279.357	280.753	280.358	282.101	280.738	282.565	282.246	284.072	284.011	284.613	286.148	285.511	281.691	283.015	283.133	284.498	284.546	286.095	284.720	286.271
91.117	92.475	92.445	93.403	93.459	94.943	94.662	95.450	91.006	92.447	92.448	93.278	93.464	94.969	94.345	95.562	32.411	32.500	NA	32.242	32.455	31.142	31.421	29.820	86.062	86.357	86.230	87.361	94.893	96.743	89.028	97.854	106.150	106.592	107.308	108.718	108.843	109.767	109.425	110.561	105.515	107.601	107.343	107.798	108.811	109.707	109.619	110.528	100.424	108.664	101.284	109.631	109.664	110.983	103.688	111.891	100.467	101.624	101.307	109.572	102.720	110.988	110.654	105.089	280.829	282.232	281.712	283.601	283.354	284.784	284.385	285.662	280.936	282.693	281.858	284.035	284.239	285.107	285.579	286.622	284.391	285.492	285.367	286.372	286.898	288.406	288.046	289.648	285.006	286.510	285.959	286.965	286.971	289.765	288.572	290.184	275.867	277.161	276.636	278.302	278.054	280.092	270.819	281.838	276.900	278.284	278.098	279.796	279.142	281.446	280.067	282.721	279.828	281.885	281.133	282.639	283.093	283.872	283.163	284.526	280.752	282.390	282.281	283.329	283.111	284.278	283.935	285.187
92.391	93.696	93.455	94.840	95.176	96.477	96.272	97.353	92.401	93.696	93.439	95.011	94.860	96.450	96.261	97.351	32.462	32.182	32.247	NA	29.854	30.409	30.016	31.186	86.276	95.043	87.286	96.842	97.214	90.903	90.512	98.046	107.217	108.720	108.594	109.328	109.541	111.353	111.069	111.600	107.230	109.156	109.171	109.989	110.071	111.357	110.986	111.552	108.729	110.152	109.788	104.360	104.378	112.564	105.580	106.745	102.026	103.379	103.448	104.389	111.308	112.573	105.575	113.438	282.610	284.414	283.522	285.105	285.297	286.579	286.691	287.502	283.195	285.066	284.111	285.860	285.727	287.220	286.823	288.267	285.928	287.809	287.476	289.141	288.708	290.112	289.762	290.668	287.188	288.571	288.144	290.285	289.804	291.037	290.184	292.314	278.755	279.806	279.838	280.346	280.674	282.169	281.469	283.539	279.219	280.439	280.572	282.648	282.726	283.798	282.331	284.822	282.088	283.237	283.435	284.158	284.652	285.723	285.923	286.697	282.829	284.128	284.023	285.260	285.401	286.730	285.917	287.517
92.606	93.799	93.552	94.867	95.053	96.286	96.008	97.742	92.410	93.827	93.549	95.074	95.224	96.939	96.031	97.215	32.465	32.073	32.434	29.726	NA	30.862	30.524	31.271	93.553	87.723	94.936	89.376	89.552	91.119	98.118	92.059	107.252	108.958	108.733	109.541	109.665	110.920	110.323	111.839	107.126	108.349	108.778	109.580	109.434	110.662	110.604	111.827	101.929	109.790	109.432	110.927	104.401	112.256	111.953	113.302	108.493	103.434	109.443	110.867	111.021	112.238	105.492	113.262	281.878	284.275	283.237	285.499	285.109	286.074	286.375	286.786	282.369	284.656	284.137	285.577	285.992	286.581	286.958	288.134	286.181	287.555	286.722	288.894	288.543	289.880	290.103	290.463	286.968	288.283	288.340	290.170	289.608	291.070	289.958	290.549	278.547	280.151	279.901	282.051	279.767	282.726	282.073	282.797	279.001	280.046	280.466	282.311	280.534	282.253	281.392	283.987	282.288	283.476	282.393	283.831	284.722	285.563	284.603	286.879	283.014	284.137	283.902	284.849	285.627	286.802	285.372	288.205
93.388	95.229	94.698	96.521	96.874	97.717	97.792	98.143	93.722	95.221	94.642	96.512	96.857	97.719	97.669	98.217	32.317	29.474	31.245	30.429	30.861	NA	32.029	33.099	94.938	97.371	89.425	90.897	91.109	98.207	98.258	98.369	108.519	110.029	109.783	111.070	111.174	112.463	112.152	113.350	109.013	109.586	109.347	111.111	111.282	112.102	111.753	113.318	103.496	104.835	111.128	105.845	106.034	107.150	113.474	108.382	109.736	111.440	104.330	112.383	106.024	113.737	113.467	108.388	283.968	285.641	285.237	286.847	286.301	287.733	287.347	288.793	284.010	286.496	285.807	287.215	286.951	289.149	287.964	289.578	287.152	288.771	288.209	290.556	290.002	291.200	290.534	292.562	288.032	290.054	288.796	290.831	290.963	292.419	291.803	293.381	279.941	280.404	280.896	282.867	281.594	283.461	283.883	284.619	279.651	281.910	280.528	283.744	282.036	284.020	283.567	285.905	283.175	284.135	284.565	285.290	285.380	287.024	286.756	288.632	283.639	285.636	285.480	286.620	286.538	287.835	287.493	288.576
93.377	95.000	94.392	95.994	96.489	97.815	97.645	98.018	93.390	94.971	94.693	96.395	96.451	97.550	97.657	98.300	32.377	28.893	31.536	30.012	30.523	32.033	NA	32.668	94.742	89.173	97.090	97.855	98.176	98.240	91.643	98.314	108.745	109.764	109.158	110.296	110.513	112.103	111.391	113.010	108.746	109.289	109.491	110.494	110.861	112.085	111.386	112.969	109.406	110.993	110.653	105.581	105.716	113.519	106.631	114.314	109.334	104.351	110.765	111.991	112.205	113.506	106.698	114.307	283.706	285.722	284.613	286.184	286.028	287.500	287.066	288.281	284.075	286.202	285.595	287.344	287.231	288.097	288.168	290.204	287.480	289.290	288.910	290.149	290.431	291.312	291.184	292.667	288.064	289.879	289.755	291.028	291.071	292.255	291.700	292.697	278.420	280.540	279.719	280.835	281.769	282.891	282.520	283.397	279.466	282.073	280.232	281.805	282.016	283.397	283.400	284.026	282.514	284.472	284.870	285.534	284.869	286.863	285.837	288.177	283.525	284.454	284.856	285.357	285.557	286.791	287.136	288.112
94.877	96.680	95.485	97.319	97.740	98.159	98.051	98.836	94.807	96.256	95.594	97.352	97.224	98.115	98.091	98.877	28.592	30.355	29.830	31.207	31.260	33.099	32.654	NA	95.823	90.850	97.826	91.776	91.991	93.296	93.009	94.244	109.323	110.361	110.168	112.240	112.405	113.526	113.276	114.329	109.814	110.362	110.113	111.486	111.644	113.587	112.439	113.713	110.772	112.474	105.473	113.428	106.828	114.812	114.733	115.972	104.206	105.742	105.423	106.692	106.831	114.809	107.778	115.649	284.670	286.751	285.938	287.686	287.504	289.228	288.382	289.756	285.295	287.137	286.756	288.198	287.994	289.494	289.462	290.453	288.575	290.774	290.439	291.074	291.029	292.444	292.761	293.539	289.555	290.651	290.808	291.786	292.648	293.113	292.675	294.075	280.225	281.071	280.897	282.268	282.561	284.071	283.665	284.630	280.633	282.595	281.803	283.261	283.271	284.435	284.412	285.003	283.932	285.184	285.196	286.681	286.468	287.564	287.510	288.615	284.484	286.404	285.733	287.210	287.260	288.833	288.002	289.461
90.003	91.456	91.093	92.238	92.611	93.536	93.435	94.478	89.942	91.290	91.120	92.251	92.377	93.692	93.380	94.796	85.040	86.101	86.054	86.279	93.528	94.962	94.716	95.824	NA	32.381	32.304	32.494	32.486	32.304	32.406	28.517	104.603	106.056	106.711	108.209	107.066	109.290	109.076	109.969	104.602	106.909	106.747	108.332	108.361	109.353	108.997	108.953	99.397	100.707	107.707	108.934	101.896	110.285	109.979	103.641	106.664	100.751	100.502	108.933	101.877	103.209	110.033	111.204	280.821	282.409	280.826	283.025	282.458	284.378	284.076	285.276	281.344	282.791	282.846	283.313	283.110	285.180	284.763	285.953	283.466	285.004	285.653	287.556	285.998	287.658	288.155	288.750	284.116	285.896	285.432	286.724	288.344	289.036	288.832	289.198	275.201	276.647	276.322	277.812	277.885	279.282	279.828	279.710	275.419	277.247	277.023	278.767	278.821	279.974	280.663	280.415	279.337	280.346	280.098	281.508	281.588	283.007	282.544	283.926	280.140	280.971	280.665	282.279	282.658	283.980	283.141	285.075
